#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im
14.4827421 -0.0100703 -0.1260478  0.0040271 -0.0005157 -0.0000035 -0.0000059
14.5455740 -0.0097243 -0.1257302  0.0040419 -0.0006206  0.0000009 -0.0000012
14.6084058 -0.0096944 -0.1256073  0.0039334 -0.0007466 -0.0000004  0.0000017
14.6712377 -0.0096027 -0.1244263  0.0039431 -0.0007899  0.0000024 -0.0000027
14.7340695 -0.0107398 -0.1253466  0.0041001 -0.0009152 -0.0000052 -0.0000032
14.7969014 -0.0098750 -0.1249996  0.0039405 -0.0006647  0.0000074  0.0000015
14.8597333 -0.0096668 -0.1236672  0.0038828 -0.0005500  0.0000086 -0.0000012
14.9225651 -0.0106475 -0.1234229  0.0040613 -0.0008059  0.0000015 -0.0000015
14.9853970 -0.0092637 -0.1230704  0.0039560 -0.0005232  0.0000052  0.0000013
15.0482288 -0.0094305 -0.1235224  0.0038853 -0.0005768 -0.0000025 -0.0000084
15.1110607 -0.0094487 -0.1226611  0.0037414 -0.0006162  0.0000033 -0.0000043
15.1738925 -0.0090207 -0.1222594  0.0038226 -0.0006400  0.0000028  0.0000002
15.2367244 -0.0086054 -0.1219396  0.0039813 -0.0004104 -0.0000074  0.0000014
15.2995562 -0.0094917 -0.1209629  0.0036936 -0.0005883 -0.0000010 -0.0000072
15.3623881 -0.0091750 -0.1209893  0.0038203 -0.0007084  0.0000022 -0.0000024
15.4252199 -0.0095609 -0.1194569  0.0036690 -0.0005302 -0.0000009 -0.0000026
15.4880518 -0.0095431 -0.1195779  0.0034156 -0.0009221 -0.0000090  0.0000020
15.5508836 -0.0086897 -0.1187909  0.0034085 -0.0006172 -0.0000015 -0.0000006
15.6137155 -0.0087347 -0.1197811  0.0035753 -0.0009358 -0.0000015 -0.0000099
15.6765473 -0.0086573 -0.1189365  0.0035456 -0.0006652 -0.0000036  0.0000003
15.7393792 -0.0100628 -0.1177723  0.0034579 -0.0006538 -0.0000030 -0.0000063
15.8022110 -0.0098500 -0.1172006  0.0037843 -0.0007335 -0.0000011 -0.0000033
15.8650429 -0.0099880 -0.1170324  0.0035628 -0.0004099 -0.0000016  0.0000089
15.9278748 -0.0080864 -0.1165525  0.0034629 -0.0005649  0.0000031  0.0000020
15.9907066 -0.0090680 -0.1161172  0.0035596 -0.0008068 -0.0000016  0.0000019
16.0535385 -0.0094537 -0.1156582  0.0034735 -0.0006137 -0.0000023  0.0000021
16.1163703 -0.0084178 -0.1151219  0.0035405 -0.0005301 -0.0000011 -0.0000016
16.1792022 -0.0085046 -0.1154422  0.0034410 -0.0003526  0.0000001 -0.0000015
16.2420340 -0.0086219 -0.1143028  0.0033538 -0.0003776 -0.0000043 -0.0000011
16.3048659 -0.0086263 -0.1143282  0.0033427 -0.0005102 -0.0000051  0.0000027
16.3676977 -0.0076233 -0.1134708  0.0033391 -0.0006215 -0.0000080  0.0000012
16.4305296 -0.0080431 -0.1136765  0.0031360 -0.0008294  0.0000006  0.0000003
16.4933614 -0.0084903 -0.1135346  0.0029779 -0.0004064 -0.0000093 -0.0000041
16.5561933 -0.0087572 -0.1130007  0.0033472 -0.0005969  0.0000011 -0.0000085
16.6190251 -0.0087048 -0.1126013  0.0030661 -0.0006588  0.0000027  0.0000039
16.6818570 -0.0087209 -0.1124599  0.0033559 -0.0007757 -0.0000051 -0.0000091
16.7446888 -0.0082991 -0.1121209  0.0031834 -0.0005322  0.0000016 -0.0000024
16.8075207 -0.0070762 -0.1115174  0.0029737 -0.0005331 -0.0000012  0.0000068
16.8703525 -0.0077720 -0.1107881  0.0027808 -0.0005729 -0.0000026 -0.0000028
16.9331844 -0.0082886 -0.1101977  0.0029896 -0.0004553  0.0000004 -0.0000095
16.9960163 -0.0082433 -0.1100658  0.0029640 -0.0005073 -0.0000034 -0.0000017
17.0588481 -0.0075942 -0.1095631  0.0029207 -0.0003395 -0.0000053 -0.0000037
17.1216800 -0.0081249 -0.1104152  0.0030453 -0.0003185  0.0000049 -0.0000024
17.1845118 -0.0077769 -0.1088200  0.0030178 -0.0005233  0.0000043 -0.0000075
17.2473437 -0.0073824 -0.1085244  0.0027292 -0.0001426 -0.0000023 -0.0000148
17.3101755 -0.0075387 -0.1078605  0.0031343 -0.0002612 -0.0000030 -0.0000058
17.3730074 -0.0080016 -0.1077445  0.0031034 -0.0004071 -0.0000076 -0.0000011
17.4358392 -0.0078810 -0.1082879  0.0028356 -0.0004976 -0.0000034  0.0000056
17.4986711 -0.0077028 -0.1077315  0.0030342 -0.0004457 -0.0000050  0.0000098
17.5615029 -0.0088223 -0.1066687  0.0030280 -0.0004143  0.0000011  0.0000045
17.6243348 -0.0080748 -0.1066176  0.0027970 -0.0004561  0.0000070 -0.0000011
