#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im     
 11.5924769 -0.0000114 -0.1517099  0.0068322 -0.0000107  0.0000087  0.0000131
 11.6553087  0.0000253 -0.1510814  0.0067627 -0.0000089  0.0000081  0.0000103
 11.7181406  0.0000597 -0.1504686  0.0066941 -0.0000073  0.0000068  0.0000077
 11.7809725  0.0000899 -0.1498677  0.0066267 -0.0000060  0.0000049  0.0000055
 11.8438043  0.0001140 -0.1492752  0.0065604 -0.0000052  0.0000026  0.0000036
 11.9066362  0.0001307 -0.1486872  0.0064955 -0.0000051  0.0000001  0.0000021
 11.9694680  0.0001386 -0.1481001  0.0064323 -0.0000056 -0.0000024  0.0000011
 12.0322999  0.0001373 -0.1475099  0.0063707 -0.0000068 -0.0000046  0.0000004
 12.0951317  0.0001260 -0.1469143  0.0063109 -0.0000087 -0.0000064  0.0000002
 12.1579636  0.0001053 -0.1463115  0.0062529 -0.0000111 -0.0000076  0.0000003
 12.2207954  0.0000755 -0.1457013  0.0061966 -0.0000140 -0.0000081  0.0000009
 12.2836273  0.0000386 -0.1450843  0.0061420 -0.0000169 -0.0000079  0.0000017
 12.3464591 -0.0000046 -0.1444624  0.0060889 -0.0000198 -0.0000070  0.0000029
 12.4092910 -0.0000520 -0.1438380  0.0060370 -0.0000225 -0.0000055  0.0000044
 12.4721228 -0.0001014 -0.1432148  0.0059860 -0.0000249 -0.0000035  0.0000062
 12.5349547 -0.0001502 -0.1425963  0.0059358 -0.0000266 -0.0000013  0.0000080
 12.5977865 -0.0001958 -0.1419867  0.0058858 -0.0000277  0.0000009  0.0000100
 12.6606184 -0.0002358 -0.1413898  0.0058359 -0.0000278  0.0000029  0.0000119
 12.7234502 -0.0002684 -0.1408081  0.0057857 -0.0000271  0.0000044  0.0000138
 12.7862821 -0.0002915 -0.1402445  0.0057351 -0.0000255  0.0000052  0.0000156
 12.8491140 -0.0003043 -0.1397000  0.0056839 -0.0000232  0.0000052  0.0000172
 12.9119458 -0.0003060 -0.1391744  0.0056321 -0.0000202  0.0000044  0.0000186
 12.9747777 -0.0002966 -0.1386660  0.0055797 -0.0000167  0.0000029  0.0000197
 13.0376095 -0.0002767 -0.1381730  0.0055271 -0.0000126  0.0000008  0.0000204
 13.1004414 -0.0002478 -0.1376921  0.0054744 -0.0000084 -0.0000017  0.0000208
 13.1632732 -0.0002117 -0.1372196  0.0054219 -0.0000041 -0.0000043  0.0000206
 13.2261051 -0.0001710 -0.1367514  0.0053699 -0.0000001 -0.0000069  0.0000201
 13.2889369 -0.0001278 -0.1362840  0.0053186  0.0000035 -0.0000092  0.0000191
 13.3517688 -0.0000853 -0.1358133  0.0052684  0.0000065 -0.0000109  0.0000178
 13.4146006 -0.0000458 -0.1353366  0.0052192  0.0000089 -0.0000120  0.0000162
 13.4774325 -0.0000120 -0.1348514  0.0051712  0.0000107 -0.0000122  0.0000145
 13.5402643  0.0000145 -0.1343567  0.0051245  0.0000118 -0.0000116  0.0000127
 13.6030962  0.0000320 -0.1338517  0.0050790  0.0000123 -0.0000101  0.0000111
 13.6659280  0.0000396 -0.1333371  0.0050342  0.0000122 -0.0000079  0.0000098
 13.7287599  0.0000376 -0.1328144  0.0049903  0.0000116 -0.0000051  0.0000087
 13.7915917  0.0000265 -0.1322850  0.0049467  0.0000107 -0.0000019  0.0000081
 13.8544236  0.0000074 -0.1317513  0.0049033  0.0000096  0.0000014  0.0000079
 13.9172555 -0.0000174 -0.1312154  0.0048598  0.0000084  0.0000045  0.0000081
 13.9800873 -0.0000455 -0.1306804  0.0048158  0.0000072  0.0000073  0.0000088
 14.0429192 -0.0000742 -0.1301483  0.0047712  0.0000059  0.0000096  0.0000097
 14.1057510 -0.0001002 -0.1296213  0.0047260  0.0000048  0.0000112  0.0000110
 14.1685829 -0.0001219 -0.1291015  0.0046800  0.0000036  0.0000120  0.0000124
 14.2314147 -0.0001364 -0.1285898  0.0046335  0.0000026  0.0000122  0.0000138
 14.2942466 -0.0001420 -0.1280873  0.0045865  0.0000017  0.0000117  0.0000152
 14.3570784 -0.0001381 -0.1275950  0.0045394  0.0000007  0.0000107  0.0000164
 14.4199103 -0.0001242 -0.1271133  0.0044924 -0.0000003  0.0000093  0.0000172
 14.4827421 -0.0001006 -0.1266423  0.0044458 -0.0000013  0.0000076  0.0000177
 14.5455740 -0.0000692 -0.1261823  0.0044000 -0.0000023  0.0000057  0.0000179
 14.6084058 -0.0000326 -0.1257328  0.0043552 -0.0000031  0.0000039  0.0000177
 14.6712377  0.0000071 -0.1252931  0.0043118 -0.0000036  0.0000021  0.0000174
 14.7340695  0.0000467 -0.1248629  0.0042699 -0.0000039  0.0000005  0.0000171
 14.7969014  0.0000834 -0.1244408  0.0042296 -0.0000036 -0.0000008  0.0000167
 14.8597333  0.0001141 -0.1240255  0.0041911 -0.0000028 -0.0000018  0.0000166
 14.9225651  0.0001364 -0.1236161  0.0041545 -0.0000013 -0.0000025  0.0000167
 14.9853970  0.0001486 -0.1232108  0.0041198  0.0000011 -0.0000029  0.0000170
 15.0482288  0.0001499 -0.1228077  0.0040868  0.0000041 -0.0000030  0.0000177
 15.1110607  0.0001400 -0.1224051  0.0040556  0.0000076 -0.0000030  0.0000186
 15.1738925  0.0001195 -0.1220013  0.0040257  0.0000117 -0.0000029  0.0000198
 15.2367244  0.0000904 -0.1215938  0.0039971  0.0000162 -0.0000026  0.0000212
 15.2995562  0.0000547 -0.1211817  0.0039697  0.0000207 -0.0000023  0.0000227
 15.3623881  0.0000155 -0.1207639  0.0039432  0.0000251 -0.0000018  0.0000241
 15.4252199 -0.0000244 -0.1203390  0.0039173  0.0000290 -0.0000012  0.0000254
 15.4880518 -0.0000612 -0.1199068  0.0038918  0.0000322 -0.0000003  0.0000263
 15.5508836 -0.0000923 -0.1194679  0.0038665  0.0000345  0.0000007  0.0000268
 15.6137155 -0.0001145 -0.1190230  0.0038411  0.0000357  0.0000020  0.0000268
 15.6765473 -0.0001261 -0.1185741  0.0038154  0.0000356  0.0000036  0.0000263
 15.7393792 -0.0001252 -0.1181232  0.0037890  0.0000342  0.0000053  0.0000252
 15.8022110 -0.0001117 -0.1176728  0.0037618  0.0000313  0.0000070  0.0000237
 15.8650429 -0.0000858 -0.1172257  0.0037338  0.0000272  0.0000088  0.0000217
 15.9278748 -0.0000486 -0.1167850  0.0037047  0.0000221  0.0000104  0.0000196
 15.9907066 -0.0000022 -0.1163535  0.0036744  0.0000162  0.0000118  0.0000174
 16.0535385  0.0000498 -0.1159330  0.0036431  0.0000099  0.0000130  0.0000154
 16.1163703  0.0001050 -0.1155256  0.0036108  0.0000036  0.0000137  0.0000136
 16.1792022  0.0001598 -0.1151321  0.0035776 -0.0000025  0.0000140  0.0000123
 16.2420340  0.0002103 -0.1147526  0.0035440 -0.0000079  0.0000138  0.0000115
 16.3048659  0.0002534 -0.1143862  0.0035099 -0.0000123  0.0000132  0.0000114
 16.3676977  0.0002868 -0.1140314  0.0034760 -0.0000154  0.0000122  0.0000118
 16.4305296  0.0003085 -0.1136855  0.0034425 -0.0000170  0.0000109  0.0000127
 16.4933614  0.0003168 -0.1133453  0.0034098 -0.0000169  0.0000095  0.0000142
 16.5561933  0.0003118 -0.1130075  0.0033783 -0.0000151  0.0000081  0.0000161
 16.6190251  0.0002946 -0.1126685  0.0033483 -0.0000118  0.0000070  0.0000182
 16.6818570  0.0002670 -0.1123248  0.0033199 -0.0000069  0.0000063  0.0000204
 16.7446888  0.0002317 -0.1119743  0.0032932 -0.0000009  0.0000062  0.0000224
 16.8075207  0.0001912 -0.1116144  0.0032685  0.0000061  0.0000068  0.0000241
 16.8703525  0.0001486 -0.1112448  0.0032455  0.0000136  0.0000080  0.0000252
 16.9331844  0.0001074 -0.1108649  0.0032243  0.0000211  0.0000100  0.0000258
 16.9960163  0.0000706 -0.1104765  0.0032045  0.0000282  0.0000124  0.0000256
 17.0588481  0.0000400 -0.1100816  0.0031857  0.0000346  0.0000152  0.0000247
 17.1216800  0.0000182 -0.1096828  0.0031678  0.0000399  0.0000183  0.0000232
 17.1845118  0.0000061 -0.1092843  0.0031500  0.0000438  0.0000212  0.0000211
 17.2473437  0.0000037 -0.1088897  0.0031322  0.0000463  0.0000239  0.0000186
 17.3101755  0.0000111 -0.1085025  0.0031139  0.0000468  0.0000262  0.0000159
 17.3730074  0.0000267 -0.1081267  0.0030948  0.0000456  0.0000278  0.0000130
 17.4358392  0.0000491 -0.1077644  0.0030747  0.0000426  0.0000285  0.0000103
 17.4986711  0.0000757 -0.1074178  0.0030535  0.0000380  0.0000284  0.0000078
 17.5615029  0.0001044 -0.1070877  0.0030312  0.0000321  0.0000275  0.0000057
 17.6243348  0.0001319 -0.1067740  0.0030078  0.0000250  0.0000256  0.0000041
 17.6871666  0.0001560 -0.1064752  0.0029835  0.0000172  0.0000230  0.0000032
 17.7499985  0.0001741 -0.1061888  0.0029585  0.0000090  0.0000199  0.0000030
 17.8128303  0.0001839 -0.1059117  0.0029331  0.0000008  0.0000165  0.0000035
 17.8756622  0.0001832 -0.1056399  0.0029078 -0.0000069  0.0000132  0.0000049
 17.9384941  0.0001714 -0.1053697  0.0028828 -0.0000137  0.0000100  0.0000070
 18.0013259  0.0001478 -0.1050971  0.0028587 -0.0000192  0.0000074  0.0000097
 18.0641578  0.0001130 -0.1048183  0.0028357 -0.0000232  0.0000054  0.0000130
 18.1269896  0.0000682 -0.1045307  0.0028140 -0.0000255  0.0000044  0.0000165
 18.1898215  0.0000152 -0.1042319  0.0027937 -0.0000261  0.0000043  0.0000203
 18.2526533 -0.0000436 -0.1039205  0.0027749 -0.0000250  0.0000050  0.0000241
 18.3154852 -0.0001047 -0.1035974  0.0027576 -0.0000224  0.0000066  0.0000277
 18.3783170 -0.0001652 -0.1032627  0.0027417 -0.0000182  0.0000089  0.0000309
 18.4411489 -0.0002210 -0.1029189  0.0027269 -0.0000128  0.0000116  0.0000337
 18.5039807 -0.0002689 -0.1025684  0.0027130 -0.0000069  0.0000147  0.0000357
 18.5668126 -0.0003056 -0.1022144  0.0026998 -0.0000005  0.0000178  0.0000370
 18.6296444 -0.0003284 -0.1018602  0.0026869  0.0000058  0.0000209  0.0000374
 18.6924763 -0.0003364 -0.1015105  0.0026740  0.0000118  0.0000234  0.0000368
 18.7553081 -0.0003282 -0.1011673  0.0026610  0.0000169  0.0000254  0.0000353
 18.8181400 -0.0003048 -0.1008339  0.0026475  0.0000209  0.0000266  0.0000331
